2023-05-08 18:11:17,366 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-05-08 18:11:17,402 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-05-08 18:11:17,403 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-05-08 18:11:17,403 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-05-08 18:11:17,405 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-05-08 18:11:17,406 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-05-08 18:11:17,406 INFO  SwAddin.cs: 201 - Setting up command manager
2023-05-08 18:11:17,407 INFO  SwAddin.cs: 204 - Adding command manager
2023-05-08 18:11:17,408 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-05-08 18:11:17,409 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-05-08 18:11:17,409 INFO  SwAddin.cs: 210 - Adding event handlers
2023-05-08 18:11:17,554 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-05-08 18:37:41,037 INFO  SwAddin.cs: 294 - Assembly export called for file mobile.SLDASM
2023-05-08 18:37:41,038 INFO  SwAddin.cs: 299 - Save is required
2023-05-08 18:37:41,038 INFO  SwAddin.cs: 313 - Saving assembly
2023-05-08 18:37:41,277 INFO  SwAddin.cs: 316 - Opening property manager
2023-05-08 18:37:41,292 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mobile.SLDASM
2023-05-08 18:37:41,330 INFO  ExportHelperExtension.cs: 1136 - Found 36 in mobile.SLDASM
2023-05-08 18:37:41,331 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in mobile.SLDASM
2023-05-08 18:37:41,331 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-05-08 18:37:41,334 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2023-05-08 18:37:41,335 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from car_base_link-1
2023-05-08 18:37:41,335 INFO  ExportHelperExtension.cs: 1136 - Found 30 in car_base_link-1
2023-05-08 18:37:41,336 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in car_base_link-1
2023-05-08 18:37:41,336 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from wheel-2
